"Plot","Index age","Age","Stocking b4 thin","Stocking aft thin","MTH","Crown Lth","Volume b4 thin","Volume aft thin","BA b4 thin","BA aft thin","DBH b4 thin","DBH aft thin","Mean Height","Event"
"HighShort",25.4,14,1000,,13.7963168560373,0,34.2365732182506,,7.34535704457487,,9.66987048400537,,12.8572009083501,
"HighShort",25.4,15,1000,,14.7249593839309,0,43.5633175570358,,8.79542942020746,,10.5813901033485,,13.7226306949921,
"HighShort",25.4,16,1000,,15.6120365234656,0,53.8987125856748,,10.2965746756225,,11.4488163414684,,14.5493244512471,
"HighShort",25.4,17,1000,,16.4572221047022,0,65.1127593160347,,11.8276163412669,,12.2705157195746,,15.3369782095793,
"HighShort",25.4,18,1000,,17.26068519208,0,77.0652663601811,,13.3701062451377,,13.0461278738407,,16.0857495262035,
"HighShort",25.4,19,1000,,18.0229814024028,0,89.614729987871,,14.9086394432157,,13.7763195415951,,16.7961561970611,
"HighShort",25.4,20,1000,,18.7449645996094,0,102.625138532491,,16.4308771664213,,14.4625401063763,,17.4689939635318,
"HighShort",25.4,21,1000,,19.4277150406016,0,115.970575144378,,17.9273477171526,,15.1067910702225,,18.1052695493784,
"HighShort",25.4,22,1000,,20.0724808882734,0,129.565396689017,,19.3952328745059,,15.7130937276038,,18.7061461549873,
"HighShort",25.4,23,1000,,20.6806306414157,0,143.586068412406,,20.8694558212722,,16.2993304342478,,19.272899125371,
"HighShort",25.4,24,1000,,21.2536145159162,0,157.882069727722,,22.3342551006505,,16.8616448613794,,19.8068799601525,
"HighShort",25.4,25,1000,,21.7929331879172,0,172.384285354889,,23.7862910998827,,17.4011346096025,,20.3094871843776,"M"
"HighShort",25.4,26,1000,,22.3001126052297,0,187.029581873708,,25.222849938259,,17.9188972795213,,20.7830500570265,
"HighShort",25.4,27,994.772058636656,,22.776683808072,0,201.235008095434,,26.5723196306643,,18.4402645214906,,21.2282808123185,
"HighShort",25.4,28,988.810824068315,,23.2241668883476,0,215.345008453748,,27.8882288452742,,18.9482044758578,,21.6466175402466,
"HighShortT2",20.9,0,1000,,0.3,0,0,,0,,0,,0.2,
"HighShortT2",20.9,1,1000,,0.529658585714132,0,0,,0,,0,,0.493604700473308,
"HighShortT2",20.9,2,1000,,1.11031557737257,0,0,,0,,0,,1.03473634296119,
"HighShortT2",20.9,3,1000,,1.87058681666674,0,0,,0,,0,,1.74325588266485,
"HighShortT2",20.9,4,1000,,2.7483828819929,0,0.0244863443838248,,0.00450577366163954,,0.239496343839883,,2.56131005102921,
"HighShortT2",20.9,5,999.541,,3.70223608272972,0,0.390490583022063,,0.142844127217639,,1.34879233798032,,3.45025090897401,
"HighShortT2",20.9,6,999.082210679848,,4.70228465880343,0,1.47051045754559,,0.60126999164623,,2.76788698463116,,4.38224989279621,
"HighShortT2",20.9,7,998.623630267617,,5.72629457765873,0,3.74377300811676,,1.48904712194946,,4.35679878968939,,5.33658663682586,
"HighShortT2",20.9,8,998.16516333588,,6.75745150342184,0,7.72101892442856,22.5219002850343,2.857485760051,7.02139867811976,6.03677563391707,9.46731093135714,6.29759139755742,
"HighShortT2",20.9,9,997.237853798139,250,7.7829689908308,0,13.8640584261086,,4.71200696531189,,7.75382448343372,,7.25334837850247,"TW"
"HighShortT2",20.9,10,250,,8.79313868463637,0,22.5219002850343,,7.02139867811976,,9.46731093135714,,8.51593044145296,
"HighShortT2",20.9,11,250,,9.78064705700289,0,9.58507504374513,,2.75103417108234,,11.8356520729326,,9.47248046067526,
"HighShortT2",20.9,12,249.88456627306,,10.7400656267092,0,13.8036273447023,,3.6672870966475,,13.668376727501,,10.4018619532406,
"HighShortT2",20.9,13,249.768143627264,,11.6674606069462,0,18.9821928644745,,4.6961598946176,,15.4709547712698,,11.3002655711188,
"HighShortT2",20.9,14,249.649795991392,,12.5600883076462,0,25.1290750038853,,5.82347769426098,,17.2321633274885,,12.165035618026,
"HighShortT2",20.9,15,249.528181812435,,13.4161541246871,0,32.2240172111098,,7.03429371038422,,18.9436931207847,,12.9944369308943,
"HighShortT2",20.9,16,249.401556325579,,14.2346198647729,0,40.2230098489232,,8.31369686508103,,20.5997388538215,,13.7874684211547,
"HighShortT2",20.9,17,249.2678169721,,15.0150485324514,0,49.0638856227421,,9.64745285376704,,22.1966497478373,,14.6562145192678,
"HighShortT2",20.9,18,204.672992817181,,15.75747859865,0,49.8389314630742,,9.36303354761416,,24.1319391489658,,15.4951809064171,
"HighShortT2",20.9,19,168.056327919102,,16.4623217526884,0,49.8807137817933,,8.98813382547639,,26.0928508584076,,16.3002388742607,
"HighShortT2",20.9,20,137.990503607284,,17.1302795410156,0,49.2751945078283,,8.54646734996625,,28.0790830206276,,17.0682886912804,
"HighShortT2",20.9,21,113.303553169136,,17.7622753127145,0,48.1582779226967,,8.06563658379126,,30.1031374850006,,17.6982678570152,"M"
"HighShortT2",20.9,22,113.246072090315,,18.3593986463401,0,55.0931006079441,,8.93577702055593,,31.6933969132336,,18.293526131395,
"HighShortT2",20.9,23,113.187131023422,,18.9228600033934,0,62.4611508228522,,9.83679962225873,,33.2615580143018,,18.8552698749559,
"HighShortT2",20.9,24,113.126500273522,,19.4539537925674,0,70.217201635467,,10.7629873756417,,34.8015383212467,,19.3847892149747,
"HighShortT2",20.9,25,113.063952261689,,19.9540283710968,0,78.3354542954527,,11.7121361769788,,36.3136728903474,,19.8834281589305,
"HighShortT2",20.9,26,112.999258820162,,20.4244617795961,0,86.7893976881147,,12.6821148998162,,37.7982981316913,,20.3525603937831,
"HighShortT2",20.9,27,112.932193813506,,20.8666422221099,0,95.5521437443862,,13.6708637909245,,39.2557516606199,,20.7935698127404,
"HighShortT2",20.9,28,112.862535508208,,21.281952476324,0,104.59671427426,,14.6763929759182,,40.686372082312,,21.2078349583344,
"HighShortT1",26.5,0,1000,,0.3,0,0,,0,,0,,0.2,
"HighShortT1",26.5,1,1000,,0.872440517195727,0,0,,0,,0,,0.813053449498129,
"HighShortT1",26.5,2,1000,,1.99926170016878,0,0,,0,,0,,1.86317186069781,
