"Age","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","SPHA","BA","HT","GCL","Vol","dens","CTREES","CSHRUB","CSTAND","CFAS","CSTEM","C_branch_live","C_branch_dead","CROOTL","CROOTD","C_needle_litter","C_branch_litter","C_stem_litter","Plot"
27,7.69883506120528,3.96229099476101,1.0199776233223,20.6447287452033,143.622551276789,967.810230528998,262.489779912862,41.7033548897859,0,0,0,11.371405961391,34.3796032971444,102.136284223172,2195.67844002783,222.773528333673,34.4628217435908,15.3269746821445,2537.54941533694,0.446382179195597,798.419521257317,4.7331,803.152621257317,6.3405518396443,534.973257376085,10.3223643726017,71.8112756383947,136.930592937126,17.1898016485722,20.8516774448929,0,0,"A2552"
28,7.48312948902948,3.84941753060264,0.990572748690251,20.6447287452033,142.75314126077,1008.04706049146,272.649750554564,40.4087618718693,0,0,0,11.097117844232,33.5593185247158,106.411861545318,2176.41070545527,224.634161085151,35.2995552225074,15.5155554555902,2618.02691562659,0.449097440441211,823.947430303228,4.998,828.945430303228,6.16155988416119,557.229461018389,10.3223643726017,71.3765706303848,141.873434199398,16.7796592623579,20.2043809359346,0,0,"A2552"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,0.2,0.2,0,0,0,0.0921,0.0921,0,0,0,0,0,0,0,0,0,"A2554"
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,0.756261782816204,0.756261782816204,0,0.343221217469851,0,0.1906,0.1906,0,0,0,0,0,0,0,0,0,"A2554"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851.149932,8.89138748149621,2.92642824984488,2.92642824984488,23.3094898425482,0.349620240794961,0,0.2955,0.2955,0,0,0,0,0,0,0,0,0,"A2554"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.29903733703,36.90966810343,4.30527503770163,4.30527503770163,91.0418882454952,0.355714408728464,0,0.4068,0.4068,0,0,0,0,0,0,0,0,0,"A2554"
5,25.2936188200063,0,0,18.4979994280395,0,25.695292147676,8.83865831514312,0,0,0,0,22.4911619857994,0,3.61600363981061,1849.3066319914,76.7332466522519,5.7952463191231,5.7952463191231,208.476247691074,0.36153631035167,52.2163671682375,0.5245,52.7408671682375,12.6468094100031,14.6556478937433,9.24899971401977,0,15.6649101504712,0,0,0,0,"A2554"
6,25.0633922660773,12.6468094100031,0,20.4024589969917,18.6680096434111,57.4877083087853,19.3116353898376,12.6468094100031,0,0,0,13.6107227100455,33.736742978699,7.61096972861984,1847.32990410498,109.452311374089,7.35724666709388,7.35724666709388,338.769405956974,0.367114590281059,110.592629421237,0.6486,111.241229421237,18.8551008380402,32.5493390187026,10.2012294984958,9.33400482170554,16.4611790499416,16.8683714893495,6.32340470500157,0,0,"A2554"
7,19.8807170883415,12.5316961330386,3.16170235250078,20.4024589969917,35.2096172279114,88.4569992168748,29.111011834252,31.8931511305156,0,0,0,14.8612592907825,36.6097206948438,11.1514946047425,1843.69142428624,128.287085802618,8.96231575437885,8.58954720094029,453.05160529653,0.372474095272252,151.634914285398,0.7791,152.414014285398,17.7870577869405,49.8042469108087,10.2012294984958,17.6048086139557,21.9861355625172,18.3048603474219,15.9465755652578,0,0,"A2554"
8,16.57373336531,9.94035854417074,3.13292403325966,20.4024589969917,48.8432973402782,119.682179156104,38.6433247840861,47.4073408163613,0,0,0,12.3384370767777,39.8645548696987,14.4908537080688,1838.75473381723,139.562819327532,10.5883969545723,9.26397703523886,557.940795511976,0.377636020823995,185.659731345553,0.916,186.575731345553,14.8235079713702,67.0865164320862,10.2012294984958,24.4216486701391,25.4908809304319,19.9322774348494,23.7036704081807,0,0,"A2554"
9,15.0047073346873,8.28686668265498,2.48508963604268,20.4024589969917,61.082233365794,153.315604044285,48.5953875780187,55.8971556825952,0,0,0,13.4001939082118,37.642641952622,17.9463252970171,1832.93981011743,147.842065410828,12.2184282918624,9.88665820456305,662.173349656283,0.382618057782124,217.02933223946,1.0593,218.08863223946,12.8883318266925,85.6309646706509,10.2012294984958,30.541116682897,30.9977907431152,18.821320976311,27.9485778412976,0,0,"A2554"
10,14.0316320367308,7.50235366734365,2.07171667066375,20.4024589969917,72.3914267955683,190.026783658775,59.1718979920354,59.8546908902472,0,0,0,13.2425823009375,38.1687589995762,21.6433954579553,1826.44360837225,154.760878940581,13.8391070475438,10.4635839523418,768.525499180945,0.387434538943545,249.253848733412,1.209,250.462848733412,11.8028511873691,105.835089558365,10.2012294984958,36.1957133977841,36.2072401464864,19.0843794997881,29.9273454451236,0,0,"A2554"
11,13.5317418961381,7.01581601836539,1.87558841683591,20.4024589969917,83.1173226334587,230.402677639081,70.5447353514647,61.456976974783,0,0,0,14.146659848791,38.1848777712028,25.6813743201425,1819.36073193848,161.232611403509,15.4400378975599,10.9997073255186,879.1361447757,0.392096585660212,283.180114933628,1.3651,284.545214933628,11.2115731656697,128.042025979612,10.2012294984958,41.5586613167293,42.3456976001279,19.0924388856014,30.7284884873915,0,0,"A2554"
12,13.0895830096736,6.76587094806905,1.75395400459135,20.4024589969917,93.1616292277097,274.0121072138,82.5987194105088,61.8972831965801,0,0,0,14.4145906880735,39.5487311033638,30.0450455729337,1811.71641062595,167.352378278751,17.0131177635952,11.499214116441,993.196152430992,0.396612254443093,318.844986686148,1.5276,320.372586686148,10.804703981167,152.028576393367,10.2012294984958,46.5808146138549,48.5066550492912,19.7743655516819,30.94864159829,0,0,"A2554"
13,12.6168980730118,6.54479150483678,1.69146773701726,20.4024589969917,102.339284404872,320.038166827476,95.1226056484237,61.710961489686,0,0,0,14.7197117322615,40.605276961725,34.6705507231245,1803.53318353605,173.032385831928,18.5520759895827,11.9656599416153,1109.01336156753,0.400986683566156,355.231087049713,1.6965,356.927587049713,10.4265786574329,177.3543587753,10.2012294984958,51.1696422024362,54.9211586903426,20.3026384808625,30.855480744843,0,0,"A2554"
14,12.1288336640036,6.30844903650588,1.6361978762092,20.4024589969917,110.529570097921,367.675228701584,107.917327711187,61.100817854846,0,0,0,14.7410562238721,41.5701005400202,39.4865771788368,1794.84761373365,178.217428287957,20.0521214295853,12.4020873272404,1225.04592352171,0.405222239670334,391.748308940989,1.8718,393.620108940989,10.0367402883593,203.58090294021,10.2012294984958,55.2647850489603,61.3291919675298,20.7850502700101,30.550408927423,0,0,"A2554"
